Anonymized ID	Age	Gender	Height	Weight	Native Korean
ID	Age	Gender	Height	Weight	Native Korean
sub-001	23	1	160	47	1
sub-002	27	1	165	57	1
sub-003	32	0	173	85	1
sub-004	23	1	161	52	1
sub-005	23	0	176	77	1
sub-006	25	1	157	56	0
sub-007	23	1	162	49	0
sub-008	25	1	165	52	1
sub-009	42	0	174	72	1
sub-010	25	1	170	53	1
sub-011	28	1	162	56	1
sub-012	38	0	-	-	1
sub-013	28	0	165	70	1
sub-014	39	1	158	50	1
sub-015	32	0	-	-	1
sub-016	35	1	169	54	1
sub-017	24	1	163	68	0
sub-018	19	0	180	75	1
sub-019	41	0	-	-	1
sub-020	23	1	168	57	1
sub-021	21	0	174	68	1
sub-022	25	0	165	63	1
sub-023	23	1	160	54	1
sub-024	23	0	165	60	1
sub-025	28	1	-	-	1
sub-026	20	1	175	60	1
sub-027	21	0	170	61	1
sub-028	22	0	172	56	1
sub-029	35	1	-	-	1
